BedrockFileName,JavaFileName,MatchType
blocks\campfire_log.png,block\campfire_log.png,"Same Image, Different Name"
blocks\campfire_log_lit.png,block\campfire_log_lit.png,"Same Image, Different Name"
blocks\carrots_stage3.png,block\carrots_stage3.png,"Same Image, Different Name"
blocks\carrots_stage_0.png,block\carrots_stage0.png,"Same Image, Different Name"
blocks\carrots_stage_1.png,block\carrots_stage1.png,"Same Image, Different Name"
blocks\carrots_stage_2.png,block\carrots_stage2.png,"Same Image, Different Name"
blocks\cartography_table_side1.png,block\cartography_table_side1.png,"Same Image, Different Name"
blocks\cartography_table_side2.png,block\cartography_table_side2.png,"Same Image, Different Name"
blocks\cartography_table_side3.png,block\cartography_table_side3.png,"Same Image, Different Name"
blocks\cartography_table_top.png,block\cartography_table_top.png,"Same Image, Different Name"
blocks\cauldron_bottom.png,block\cauldron_bottom.png,"Same Image, Different Name"
blocks\cauldron_inner.png,block\cauldron_inner.png,"Same Image, Different Name"
blocks\cauldron_side.png,block\cauldron_side.png,"Same Image, Different Name"
blocks\cauldron_top.png,block\cauldron_top.png,"Same Image, Different Name"
blocks\cave_vines_body.png,block\cave_vines_plant.png,"Same Image, Different Name"
blocks\cave_vines_body_berries.png,block\cave_vines_plant_lit.png,"Same Image, Different Name"
blocks\cave_vines_head.png,block\cave_vines.png,"Same Image, Different Name"
blocks\cave_vines_head_berries.png,block\cave_vines_lit.png,"Same Image, Different Name"
blocks\chain_command_block_back.png,block\chain_command_block_back.png,"Same Image, Different Name"
blocks\chain_command_block_conditional.png,block\chain_command_block_conditional.png,"Same Image, Different Name"
blocks\chain_command_block_front.png,block\chain_command_block_front.png,"Same Image, Different Name"
blocks\chain_command_block_side.png,block\chain_command_block_side.png,"Same Image, Different Name"
blocks\cherry_door_bottom.png,block\cherry_door_bottom.png,"Same Image, Different Name"
blocks\cherry_door_top.png,block\cherry_door_top.png,"Same Image, Different Name"
blocks\cherry_leaves.png,block\cherry_leaves.png,"Same Image, Different Name"
blocks\cherry_log_side.png,block\cherry_log.png,"Same Image, Different Name"
blocks\cherry_log_top.png,block\cherry_log_top.png,"Same Image, Different Name"
blocks\cherry_planks.png,block\cherry_planks.png,"Same Image, Different Name"
blocks\cherry_sapling.png,block\cherry_sapling.png,"Same Image, Different Name"
blocks\cherry_trapdoor.png,block\cherry_trapdoor.png,"Same Image, Different Name"
blocks\chiseled_bookshelf_empty.png,block\chiseled_bookshelf_empty.png,"Same Image, Different Name"
blocks\chiseled_bookshelf_occupied.png,block\chiseled_bookshelf_occupied.png,"Same Image, Different Name"
blocks\chiseled_bookshelf_side.png,block\chiseled_bookshelf_side.png,"Same Image, Different Name"
blocks\chiseled_bookshelf_top.png,block\chiseled_bookshelf_top.png,"Same Image, Different Name"
blocks\chiseled_copper.png,block\chiseled_copper.png,"Same Image, Different Name"
blocks\chiseled_nether_bricks.png,block\chiseled_nether_bricks.png,"Same Image, Different Name"
blocks\chiseled_polished_blackstone.png,block\chiseled_polished_blackstone.png,"Same Image, Different Name"
blocks\chiseled_resin_bricks.png,block\chiseled_resin_bricks.png,"Same Image, Different Name"
blocks\chiseled_tuff.png,block\chiseled_tuff.png,"Same Image, Different Name"
blocks\chiseled_tuff_bricks.png,block\chiseled_tuff_bricks.png,"Same Image, Different Name"
blocks\chiseled_tuff_bricks_top.png,block\chiseled_tuff_bricks_top.png,"Same Image, Different Name"
blocks\chiseled_tuff_top.png,block\chiseled_tuff_top.png,"Same Image, Different Name"
blocks\chorus_flower.png,block\chorus_flower.png,"Same Image, Different Name"
blocks\chorus_flower_dead.png,block\chorus_flower_dead.png,"Same Image, Different Name"
blocks\chorus_plant.png,block\chorus_plant.png,"Same Image, Different Name"
blocks\clay.png,block\clay.png,"Same Image, Different Name"
blocks\coal_block.png,block\coal_block.png,"Same Image, Different Name"
blocks\coal_ore.png,block\coal_ore.png,"Same Image, Different Name"
blocks\coarse_dirt.png,block\coarse_dirt.png,"Same Image, Different Name"
blocks\cobblestone.png,block\cobblestone.png,"Same Image, Different Name"
blocks\cobblestone_mossy.png,block\mossy_cobblestone.png,"Same Image, Different Name"
blocks\cocoa_stage_0.png,block\cocoa_stage0.png,"Same Image, Different Name"
blocks\cocoa_stage_1.png,block\cocoa_stage1.png,"Same Image, Different Name"
blocks\command_block_back.png,block\command_block_back.png,"Same Image, Different Name"
blocks\command_block_conditional.png,block\command_block_conditional.png,"Same Image, Different Name"
blocks\command_block_front.png,block\command_block_front.png,"Same Image, Different Name"
blocks\command_block_side.png,block\command_block_side.png,"Same Image, Different Name"
blocks\comparator_off.png,block\comparator.png,"Same Image, Different Name"
blocks\comparator_on.png,block\comparator_on.png,"Same Image, Different Name"
blocks\composter_bottom.png,block\composter_bottom.png,"Same Image, Different Name"
blocks\composter_side.png,block\composter_side.png,"Same Image, Different Name"
blocks\concrete_black.png,block\black_concrete.png,"Same Image, Different Name"
blocks\concrete_blue.png,block\blue_concrete.png,"Same Image, Different Name"
blocks\concrete_brown.png,block\brown_concrete.png,"Same Image, Different Name"
blocks\concrete_cyan.png,block\cyan_concrete.png,"Same Image, Different Name"
blocks\concrete_gray.png,block\gray_concrete.png,"Same Image, Different Name"
blocks\concrete_green.png,block\green_concrete.png,"Same Image, Different Name"
blocks\concrete_light_blue.png,block\light_blue_concrete.png,"Same Image, Different Name"
blocks\concrete_lime.png,block\lime_concrete.png,"Same Image, Different Name"
blocks\concrete_magenta.png,block\magenta_concrete.png,"Same Image, Different Name"
blocks\concrete_orange.png,block\orange_concrete.png,"Same Image, Different Name"
blocks\concrete_pink.png,block\pink_concrete.png,"Same Image, Different Name"
blocks\concrete_powder_black.png,block\black_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_blue.png,block\blue_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_brown.png,block\brown_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_cyan.png,block\cyan_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_gray.png,block\gray_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_green.png,block\green_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_light_blue.png,block\light_blue_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_lime.png,block\lime_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_magenta.png,block\magenta_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_orange.png,block\orange_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_pink.png,block\pink_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_purple.png,block\purple_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_red.png,block\red_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_silver.png,block\light_gray_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_white.png,block\white_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_powder_yellow.png,block\yellow_concrete_powder.png,"Same Image, Different Name"
blocks\concrete_purple.png,block\purple_concrete.png,"Same Image, Different Name"
blocks\concrete_red.png,block\red_concrete.png,"Same Image, Different Name"
blocks\concrete_silver.png,block\light_gray_concrete.png,"Same Image, Different Name"
blocks\concrete_white.png,block\white_concrete.png,"Same Image, Different Name"
blocks\concrete_yellow.png,block\yellow_concrete.png,"Same Image, Different Name"
blocks\conduit_cage.png,entity\conduit\cage.png,"Same Image, Different Name"
blocks\copper_block.png,block\copper_block.png,"Same Image, Different Name"
blocks\copper_bulb.png,block\copper_bulb.png,"Same Image, Different Name"
blocks\copper_bulb_lit.png,block\copper_bulb_lit.png,"Same Image, Different Name"
blocks\copper_bulb_lit_powered.png,block\copper_bulb_lit_powered.png,"Same Image, Different Name"
blocks\copper_bulb_powered.png,block\copper_bulb_powered.png,"Same Image, Different Name"
blocks\copper_door_bottom.png,block\copper_door_bottom.png,"Same Image, Different Name"
blocks\copper_door_top.png,block\copper_door_top.png,"Same Image, Different Name"
blocks\copper_grate.png,block\copper_grate.png,"Same Image, Different Name"
blocks\copper_ore.png,block\copper_ore.png,"Same Image, Different Name"
blocks\copper_trapdoor.png,block\copper_trapdoor.png,"Same Image, Different Name"
blocks\coral_blue.png,block\tube_coral_block.png,"Same Image, Different Name"
blocks\coral_blue_dead.png,block\dead_tube_coral_block.png,"Same Image, Different Name"
blocks\coral_fan_blue.png,block\tube_coral_fan.png,"Same Image, Different Name"
blocks\coral_fan_blue_dead.png,block\dead_tube_coral_fan.png,"Same Image, Different Name"
blocks\coral_fan_pink.png,block\brain_coral_fan.png,"Same Image, Different Name"
blocks\coral_fan_pink_dead.png,block\dead_brain_coral_fan.png,"Same Image, Different Name"
blocks\coral_fan_purple.png,block\bubble_coral_fan.png,"Same Image, Different Name"
blocks\coral_fan_purple_dead.png,block\dead_bubble_coral_fan.png,"Same Image, Different Name"
blocks\coral_fan_red.png,block\fire_coral_fan.png,"Same Image, Different Name"
blocks\coral_fan_red_dead.png,block\dead_fire_coral_fan.png,"Same Image, Different Name"
blocks\coral_fan_yellow.png,block\horn_coral_fan.png,"Same Image, Different Name"
blocks\coral_fan_yellow_dead.png,block\dead_horn_coral_fan.png,"Same Image, Different Name"
blocks\coral_pink.png,block\brain_coral_block.png,"Same Image, Different Name"
blocks\coral_pink_dead.png,block\dead_brain_coral_block.png,"Same Image, Different Name"
blocks\coral_plant_blue.png,block\tube_coral.png,"Same Image, Different Name"
blocks\coral_plant_blue_dead.png,block\dead_tube_coral.png,"Same Image, Different Name"
blocks\coral_plant_pink.png,block\brain_coral.png,"Same Image, Different Name"
blocks\coral_plant_pink_dead.png,block\dead_brain_coral.png,"Same Image, Different Name"
blocks\coral_plant_purple.png,block\bubble_coral.png,"Same Image, Different Name"
blocks\coral_plant_purple_dead.png,block\dead_bubble_coral.png,"Same Image, Different Name"
blocks\coral_plant_red.png,block\fire_coral.png,"Same Image, Different Name"
blocks\coral_plant_red_dead.png,block\dead_fire_coral.png,"Same Image, Different Name"
blocks\coral_plant_yellow.png,block\horn_coral.png,"Same Image, Different Name"
blocks\coral_plant_yellow_dead.png,block\dead_horn_coral.png,"Same Image, Different Name"
blocks\coral_purple_dead.png,block\dead_bubble_coral_block.png,"Same Image, Different Name"
blocks\coral_red_dead.png,block\dead_fire_coral_block.png,"Same Image, Different Name"
blocks\coral_yellow.png,block\horn_coral_block.png,"Same Image, Different Name"
blocks\coral_yellow_dead.png,block\dead_horn_coral_block.png,"Same Image, Different Name"
blocks\cracked_nether_bricks.png,block\cracked_nether_bricks.png,"Same Image, Different Name"
blocks\cracked_polished_blackstone_bricks.png,block\cracked_polished_blackstone_bricks.png,"Same Image, Different Name"
blocks\crafter_bottom.png,block\crafter_bottom.png,"Same Image, Different Name"
blocks\crafter_east.png,block\crafter_east.png,"Same Image, Different Name"
blocks\crafter_east_crafting.png,block\crafter_east_crafting.png,"Same Image, Different Name"
blocks\crafter_east_triggered.png,block\crafter_east_triggered.png,"Same Image, Different Name"
blocks\crafter_north.png,block\crafter_north.png,"Same Image, Different Name"
blocks\crafter_north_crafting.png,block\crafter_north_crafting.png,"Same Image, Different Name"
blocks\crafter_south.png,block\crafter_south.png,"Same Image, Different Name"
blocks\crafter_south_triggered.png,block\crafter_south_triggered.png,"Same Image, Different Name"
blocks\crafter_top.png,block\crafter_top.png,"Same Image, Different Name"
blocks\crafter_top_crafting.png,block\crafter_top_crafting.png,"Same Image, Different Name"
blocks\crafter_top_triggered.png,block\crafter_top_triggered.png,"Same Image, Different Name"
blocks\crafter_west.png,block\crafter_west.png,"Same Image, Different Name"
blocks\crafter_west_crafting.png,block\crafter_west_crafting.png,"Same Image, Different Name"
blocks\crafter_west_triggered.png,block\crafter_west_triggered.png,"Same Image, Different Name"
blocks\crafting_table_front.png,block\crafting_table_front.png,"Same Image, Different Name"
blocks\crafting_table_side.png,block\crafting_table_side.png,"Same Image, Different Name"
blocks\crafting_table_top.png,block\crafting_table_top.png,"Same Image, Different Name"
blocks\creaking_heart_side_active.png,block\creaking_heart_awake.png,"Same Image, Different Name"
blocks\creaking_heart_side_dormant.png,block\creaking_heart_dormant.png,"Same Image, Different Name"
blocks\creaking_heart_side_inactive.png,block\creaking_heart.png,"Same Image, Different Name"
blocks\creaking_heart_top_active.png,block\creaking_heart_top_awake.png,"Same Image, Different Name"
blocks\creaking_heart_top_dormant.png,block\creaking_heart_top_dormant.png,"Same Image, Different Name"
blocks\creaking_heart_top_inactive.png,block\creaking_heart_top.png,"Same Image, Different Name"
blocks\crimson_fungus.png,block\crimson_fungus.png,"Same Image, Different Name"
blocks\crimson_nylium_side.png,block\crimson_nylium_side.png,"Same Image, Different Name"
blocks\crimson_nylium_top.png,block\crimson_nylium.png,"Same Image, Different Name"
blocks\crimson_roots.png,block\crimson_roots.png,"Same Image, Different Name"
blocks\crimson_roots_pot.png,block\crimson_roots_pot.png,"Same Image, Different Name"
blocks\crying_obsidian.png,block\crying_obsidian.png,"Same Image, Different Name"
blocks\cut_copper.png,block\cut_copper.png,"Same Image, Different Name"
blocks\danger_pottery_pattern.png,entity\decorated_pot\danger_pottery_pattern.png,"Same Image, Different Name"
blocks\dark_oak_trapdoor.png,block\dark_oak_trapdoor.png,"Same Image, Different Name"
blocks\daylight_detector_inverted_top.png,block\daylight_detector_inverted_top.png,"Same Image, Different Name"
blocks\daylight_detector_side.png,block\daylight_detector_side.png,"Same Image, Different Name"
blocks\daylight_detector_top.png,block\daylight_detector_top.png,"Same Image, Different Name"
blocks\deadbush.png,block\dead_bush.png,"Same Image, Different Name"
blocks\decorated_pot_base.png,entity\decorated_pot\decorated_pot_base.png,"Same Image, Different Name"
blocks\decorated_pot_side.png,entity\decorated_pot\decorated_pot_side.png,"Same Image, Different Name"
blocks\diamond_block.png,block\diamond_block.png,"Same Image, Different Name"
blocks\diamond_ore.png,block\diamond_ore.png,"Same Image, Different Name"
blocks\dirt.png,block\dirt.png,"Same Image, Different Name"
blocks\dirt_podzol_side.png,block\podzol_side.png,"Same Image, Different Name"
blocks\dirt_podzol_top.png,block\podzol_top.png,"Same Image, Different Name"
blocks\dirt_with_roots.png,block\rooted_dirt.png,"Same Image, Different Name"
blocks\dispenser_front_horizontal.png,block\dispenser_front.png,"Same Image, Different Name"
blocks\dispenser_front_vertical.png,block\dispenser_front_vertical.png,"Same Image, Different Name"
blocks\door_acacia_lower.png,block\acacia_door_bottom.png,"Same Image, Different Name"
blocks\door_acacia_upper.png,block\acacia_door_top.png,"Same Image, Different Name"
blocks\door_birch_lower.png,block\birch_door_bottom.png,"Same Image, Different Name"
blocks\door_birch_upper.png,block\birch_door_top.png,"Same Image, Different Name"
blocks\door_dark_oak_lower.png,block\dark_oak_door_bottom.png,"Same Image, Different Name"
blocks\door_dark_oak_upper.png,block\dark_oak_door_top.png,"Same Image, Different Name"
blocks\door_iron_lower.png,block\iron_door_bottom.png,"Same Image, Different Name"
blocks\door_iron_upper.png,block\iron_door_top.png,"Same Image, Different Name"
blocks\door_jungle_lower.png,block\jungle_door_bottom.png,"Same Image, Different Name"
blocks\door_jungle_upper.png,block\jungle_door_top.png,"Same Image, Different Name"
blocks\door_spruce_lower.png,block\spruce_door_bottom.png,"Same Image, Different Name"
blocks\door_spruce_upper.png,block\spruce_door_top.png,"Same Image, Different Name"
blocks\door_wood_lower.png,block\oak_door_bottom.png,"Same Image, Different Name"
blocks\door_wood_upper.png,block\oak_door_top.png,"Same Image, Different Name"
blocks\double_plant_fern_bottom.tga,block\large_fern_bottom.png,"Same Image, Different Name"
blocks\double_plant_paeonia_bottom.png,block\peony_bottom.png,"Same Image, Different Name"
blocks\double_plant_paeonia_top.png,block\peony_top.png,"Same Image, Different Name"
blocks\double_plant_rose_bottom.png,block\rose_bush_bottom.png,"Same Image, Different Name"
blocks\double_plant_rose_top.png,block\rose_bush_top.png,"Same Image, Different Name"
blocks\double_plant_sunflower_back.png,block\sunflower_back.png,"Same Image, Different Name"
blocks\double_plant_sunflower_bottom.png,block\sunflower_bottom.png,"Same Image, Different Name"
blocks\double_plant_sunflower_front.png,block\sunflower_front.png,"Same Image, Different Name"
blocks\double_plant_sunflower_top.png,block\sunflower_top.png,"Same Image, Different Name"
blocks\dragon_egg.png,block\dragon_egg.png,"Same Image, Different Name"
blocks\dried_kelp_side_a.png,block\dried_kelp_side.png,"Same Image, Different Name"
blocks\dried_kelp_top.png,block\dried_kelp_top.png,"Same Image, Different Name"
blocks\dripstone_block.png,block\dripstone_block.png,"Same Image, Different Name"
blocks\dropper_front_horizontal.png,block\dropper_front.png,"Same Image, Different Name"
blocks\dropper_front_vertical.png,block\dropper_front_vertical.png,"Same Image, Different Name"
blocks\emerald_block.png,block\emerald_block.png,"Same Image, Different Name"
blocks\emerald_ore.png,block\emerald_ore.png,"Same Image, Different Name"
blocks\enchanting_table_bottom.png,block\enchanting_table_bottom.png,"Same Image, Different Name"
blocks\enchanting_table_side.png,block\enchanting_table_side.png,"Same Image, Different Name"
blocks\enchanting_table_top.png,block\enchanting_table_top.png,"Same Image, Different Name"
blocks\endframe_eye.png,block\end_portal_frame_eye.png,"Same Image, Different Name"
blocks\endframe_side.png,block\end_portal_frame_side.png,"Same Image, Different Name"
blocks\endframe_top.png,block\end_portal_frame_top.png,"Same Image, Different Name"
blocks\end_bricks.png,block\end_stone_bricks.png,"Same Image, Different Name"
blocks\end_rod.png,block\end_rod.png,"Same Image, Different Name"
blocks\end_stone.png,block\end_stone.png,"Same Image, Different Name"
blocks\explorer_pottery_pattern.png,entity\decorated_pot\explorer_pottery_pattern.png,"Same Image, Different Name"
blocks\exposed_chiseled_copper.png,block\exposed_chiseled_copper.png,"Same Image, Different Name"
blocks\exposed_copper.png,block\exposed_copper.png,"Same Image, Different Name"
blocks\exposed_copper_bulb.png,block\exposed_copper_bulb.png,"Same Image, Different Name"
blocks\exposed_copper_bulb_lit.png,block\exposed_copper_bulb_lit.png,"Same Image, Different Name"
blocks\exposed_copper_bulb_lit_powered.png,block\exposed_copper_bulb_lit_powered.png,"Same Image, Different Name"
blocks\exposed_copper_bulb_powered.png,block\exposed_copper_bulb_powered.png,"Same Image, Different Name"
blocks\exposed_copper_door_bottom.png,block\exposed_copper_door_bottom.png,"Same Image, Different Name"
blocks\exposed_copper_door_top.png,block\exposed_copper_door_top.png,"Same Image, Different Name"
blocks\exposed_copper_grate.png,block\exposed_copper_grate.png,"Same Image, Different Name"
blocks\exposed_copper_trapdoor.png,block\exposed_copper_trapdoor.png,"Same Image, Different Name"
blocks\exposed_cut_copper.png,block\exposed_cut_copper.png,"Same Image, Different Name"
blocks\eyeblossom_dormant.png,block\closed_eyeblossom.png,"Same Image, Different Name"
blocks\eyeblossom_eyes_blooming.png,block\open_eyeblossom_emissive.png,"Same Image, Different Name"
blocks\eyeblossom_stem_blooming.png,block\open_eyeblossom.png,"Same Image, Different Name"
blocks\farmland_dry.png,block\farmland.png,"Same Image, Different Name"
blocks\farmland_wet.png,block\farmland_moist.png,"Same Image, Different Name"
blocks\firefly_bush.png,block\firefly_bush.png,"Same Image, Different Name"
blocks\firefly_bush_firefly.png,block\firefly_bush_emissive.png,"Same Image, Different Name"
blocks\fire_0.png,block\fire_0.png,"Same Image, Different Name"
blocks\fire_1.png,block\fire_1.png,"Same Image, Different Name"
blocks\fletcher_table_side1.png,block\fletching_table_side.png,"Same Image, Different Name"
blocks\fletcher_table_side2.png,block\fletching_table_front.png,"Same Image, Different Name"
blocks\fletcher_table_top.png,block\fletching_table_top.png,"Same Image, Different Name"
blocks\flowering_azalea_side.png,block\flowering_azalea_side.png,"Same Image, Different Name"
blocks\flowering_azalea_top.png,block\flowering_azalea_top.png,"Same Image, Different Name"
blocks\flower_allium.png,block\allium.png,"Same Image, Different Name"
blocks\flower_blue_orchid.png,block\blue_orchid.png,"Same Image, Different Name"
blocks\flower_cornflower.png,block\cornflower.png,"Same Image, Different Name"
blocks\flower_dandelion.png,block\dandelion.png,"Same Image, Different Name"
blocks\flower_houstonia.png,block\azure_bluet.png,"Same Image, Different Name"
blocks\flower_lily_of_the_valley.png,block\lily_of_the_valley.png,"Same Image, Different Name"
blocks\flower_oxeye_daisy.png,block\oxeye_daisy.png,"Same Image, Different Name"
blocks\flower_pot.png,block\flower_pot.png,"Same Image, Different Name"
blocks\flower_rose.png,block\poppy.png,"Same Image, Different Name"
blocks\flower_tulip_orange.png,block\orange_tulip.png,"Same Image, Different Name"
blocks\flower_tulip_pink.png,block\pink_tulip.png,"Same Image, Different Name"
blocks\flower_tulip_red.png,block\red_tulip.png,"Same Image, Different Name"
blocks\flower_tulip_white.png,block\white_tulip.png,"Same Image, Different Name"
blocks\flower_wither_rose.png,block\wither_rose.png,"Same Image, Different Name"
blocks\flow_pottery_pattern.png,entity\decorated_pot\flow_pottery_pattern.png,"Same Image, Different Name"
blocks\friend_pottery_pattern.png,entity\decorated_pot\friend_pottery_pattern.png,"Same Image, Different Name"
blocks\frogspawn.png,block\frogspawn.png,"Same Image, Different Name"
blocks\frosted_ice_0.png,block\frosted_ice_0.png,"Same Image, Different Name"
blocks\frosted_ice_1.png,block\frosted_ice_1.png,"Same Image, Different Name"
blocks\frosted_ice_2.png,block\frosted_ice_2.png,"Same Image, Different Name"
blocks\frosted_ice_3.png,block\frosted_ice_3.png,"Same Image, Different Name"
blocks\furnace_front_off.png,block\furnace_front.png,"Same Image, Different Name"
blocks\furnace_front_on.png,block\furnace_front_on.png,"Same Image, Different Name"
